corner,temp,resistor,supply,dropout,line_reg
sf_ll,0,180,2.1,error,error
ss_ll,0,180,2.3,error,error
fs_hh,27,180,2.1,1.40190000e-02,3.50000000e-05
sf_ll,0,36000.0,2.1,error,error
ss_ll,0,36000.0,2.3,error,error
fs_hh,27,36000.0,2.1,1.01000000e-04,7.25000000e-05
sf_ll,27,18,2.1,2.12018000e-01,1.08050000e-02
ss_ll,27,18,2.3,2.04092000e-01,6.28250000e-03
fs_hh,85,18,2.3,1.52109000e-01,3.01125000e-03
sf_ll,27,180,2.1,2.23750000e-02,2.71250000e-04
ss_ll,27,180,2.3,2.14090000e-02,2.08750000e-04
fs_hh,85,180,2.3,1.55100000e-02,2.72500000e-03
sf_ll,27,36000.0,2.1,1.66000000e-04,1.76250000e-04
ss_ll,27,36000.0,2.3,error,error
fs_hh,85,36000.0,2.3,1.14000000e-04,2.67250000e-03
sf_ll,85,18,2.3,2.28807000e-01,5.09287500e-02
ss_tt,85,18,2.5,2.21230000e-01,4.02212500e-02
fs_hh,0,18,2.3,1.30198000e-01,1.48375000e-03
sf_ll,85,180,2.3,2.40770000e-02,3.07375000e-03
ss_tt,85,180,2.5,error,error
fs_hh,0,180,2.3,1.32480000e-02,1.26000000e-03
sf_ll,85,36000.0,2.3,1.83000000e-04,2.95375000e-03
ss_tt,85,36000.0,2.5,error,error
fs_hh,0,36000.0,2.3,9.40000000e-05,1.29250000e-03
sf_ll,0,18,2.3,error,error
ss_tt,0,18,2.5,error,error
fs_hh,27,18,2.3,1.37641000e-01,1.25000000e-04
sf_ll,0,180,2.3,error,error
ss_tt,0,180,2.5,error,error
fs_hh,27,180,2.3,1.40190000e-02,3.50000000e-05
sf_ll,0,36000.0,2.3,error,error
ss_tt,0,36000.0,2.5,1.48000000e-04,1.11875000e-03
fs_hh,27,36000.0,2.3,1.01000000e-04,7.25000000e-05
sf_ll,27,18,2.3,2.12018000e-01,1.08050000e-02
ss_tt,27,18,2.5,error,error
fs_hl,85,18,2.5,1.52109000e-01,3.01125000e-03
sf_ll,27,180,2.3,2.23750000e-02,2.71250000e-04
ss_tt,27,180,2.5,error,error
fs_hl,85,180,2.5,1.55100000e-02,2.72500000e-03
sf_ll,27,36000.0,2.3,1.66000000e-04,1.76250000e-04
ss_tt,27,36000.0,2.5,error,error
fs_hl,85,36000.0,2.5,1.14000000e-04,2.67250000e-03
sf_tt,85,18,2.5,2.28805000e-01,4.41450000e-02
ss_tt,85,18,2.1,2.21230000e-01,4.02212500e-02
fs_hl,0,18,2.5,1.30198000e-01,1.48375000e-03
ss_hh,0,180,2.3,error,error
ff_ll,27,180,2.5,error,error
tt,27,180,2.1,error,error
tt,0,36000.0,2.1,error,error
tt,27,36000.0,2.1,error,error
ss_hh,0,36000.0,2.3,error,error
ff_ll,27,36000.0,2.5,error,error
tt,27,18,2.1,error,error
ss_hh,27,18,2.3,2.04088000e-01,3.28000000e-03
ff_ll,85,18,2.1,1.56251000e-01,3.05500000e-03
tt,85,18,2.3,1.84154000e-01,4.93625000e-03
tt,85,180,2.3,error,error
ss_hh,27,180,2.3,2.14050000e-02,1.82500000e-04
ff_ll,85,180,2.1,error,error
tt,85,36000.0,2.3,error,error
ss_hh,27,36000.0,2.3,error,error
ff_ll,85,36000.0,2.1,1.21000000e-04,2.61875000e-03
tt,0,18,2.3,error,error
ss_hl,85,18,2.5,2.21228000e-01,3.41800000e-02
ff_ll,0,18,2.1,error,error
tt,0,180,2.3,error,error
ss_hl,85,180,2.5,2.31590000e-02,2.99625000e-03
ff_ll,0,180,2.1,1.37180000e-02,1.32375000e-03
tt,0,36000.0,2.3,error,error
ss_hl,85,36000.0,2.5,error,error
ff_ll,0,36000.0,2.1,error,error
ss_hl,0,18,2.5,3.11590000e-02,9.64877500e-01
ff_ll,27,18,2.1,1.41865000e-01,1.02500000e-04
tt,27,18,2.3,error,error
ss_hl,0,180,2.5,error,error
ff_ll,27,180,2.1,error,error
tt,27,180,2.3,error,error
ss_hl,0,36000.0,2.5,error,error
ff_ll,27,36000.0,2.1,error,error
ss_hl,27,18,2.5,error,error
ff_ll,85,18,2.3,1.56251000e-01,3.05500000e-03
ss_hl,27,180,2.5,2.14050000e-02,1.82500000e-04
ff_ll,85,180,2.3,error,error
ss_hl,27,36000.0,2.5,error,error
ff_ll,85,36000.0,2.3,1.21000000e-04,2.61875000e-03
ss_hl,85,18,2.1,2.21228000e-01,3.41800000e-02
ff_ll,0,18,2.3,error,error
ss_hl,85,180,2.1,2.31590000e-02,2.99625000e-03
ff_ll,0,180,2.3,error,error
ss_hl,85,36000.0,2.1,error,error
ff_ll,0,36000.0,2.3,error,error
ss_hl,0,18,2.1,3.11590000e-02,9.64877500e-01
ff_ll,27,18,2.3,1.41865000e-01,1.02500000e-04
ss_hl,0,180,2.1,error,error
ff_ll,27,180,2.3,error,error
tt,27,36000.0,2.3,error,error
ss_hl,0,36000.0,2.1,error,error
ff_ll,27,36000.0,2.3,error,error
ss_hl,27,18,2.1,error,error
ff_tt,85,18,2.5,1.56250000e-01,2.95375000e-03
ss_hl,27,180,2.1,2.14050000e-02,1.82500000e-04
ff_tt,85,180,2.5,1.59710000e-02,1.00075000e+00
ss_hl,27,36000.0,2.1,error,error
ff_tt,85,36000.0,2.5,1.19000000e-04,2.55875000e-03
ss_hl,85,18,2.3,2.21228000e-01,3.41800000e-02
ff_tt,0,18,2.5,error,error
tt_hh,85,180,2.5,1.90050000e-02,2.74000000e-03
sf_lh,27,180,2.5,2.23750000e-02,2.71250000e-04
ff_hl,0,180,2.1,1.37160000e-02,1.25250000e-03
fs_lh,27,180,2.3,1.40220000e-02,5.50000000e-05
sf_hh,0,180,2.1,error,error
sf_hh,0,36000.0,2.1,error,error
sf_lh,27,36000.0,2.5,1.66000000e-04,1.76250000e-04
fs_lh,27,36000.0,2.3,error,error
ff_hl,0,36000.0,2.1,error,error
tt_hh,85,36000.0,2.5,error,error
sf_hh,27,18,2.1,2.12014000e-01,4.97250000e-03
sf_lh,85,18,2.1,2.28807000e-01,5.09287500e-02
fs_ll,85,18,2.5,1.52112000e-01,3.23250000e-03
ff_hl,27,18,2.1,1.41863000e-01,1.01322000e+00
tt_hh,0,18,2.5,1.60317000e-01,9.57500000e-04
sf_hh,27,180,2.1,2.23710000e-02,2.38750000e-04
sf_lh,85,180,2.1,2.40770000e-02,3.07375000e-03
fs_ll,85,180,2.5,1.55130000e-02,2.87250000e-03
ff_hl,27,180,2.1,1.44860000e-02,6.75000000e-05
tt_hh,0,180,2.5,error,error
sf_hh,27,36000.0,2.1,1.62000000e-04,1.47500000e-04
sf_lh,85,36000.0,2.1,1.83000000e-04,2.95375000e-03
fs_ll,85,36000.0,2.5,1.17000000e-04,2.81625000e-03
ff_hl,27,36000.0,2.1,1.04000000e-04,1.12500000e-04
tt_hh,0,36000.0,2.5,error,error
sf_hh,85,18,2.3,2.28803000e-01,3.77762500e-02
sf_lh,0,18,2.1,error,error
fs_ll,0,18,2.5,1.30201000e-01,1.19000000e-03
ff_hl,85,18,2.3,error,error
tt_hh,27,18,2.5,error,error
sf_hh,85,180,2.3,2.40720000e-02,2.88750000e-03
sf_lh,0,180,2.1,error,error
ss_tt,85,180,2.1,error,error
fs_ll,0,180,2.5,1.32500000e-02,1.32875000e-03
tt_hh,27,180,2.5,1.73860000e-02,1.25000000e-05
sf_hh,85,36000.0,2.3,1.78000000e-04,2.77750000e-03
sf_lh,0,36000.0,2.1,error,error
fs_ll,0,36000.0,2.5,9.60000000e-05,1.36250000e-03
ff_hl,85,36000.0,2.3,1.18000000e-04,2.50625000e-03
tt_hh,27,36000.0,2.5,1.25000000e-04,3.87500000e-05
sf_hh,0,18,2.3,error,error
sf_lh,27,18,2.1,2.12018000e-01,1.08050000e-02
fs_ll,27,18,2.5,1.37644000e-01,1.25000000e-04
ff_hl,0,18,2.3,error,error
tt_hh,85,18,2.1,1.84152000e-01,4.43500000e-03
sf_hh,0,180,2.3,error,error
sf_lh,27,180,2.1,2.23750000e-02,2.71250000e-04
fs_ll,27,180,2.5,1.40220000e-02,5.50000000e-05
ff_hl,0,180,2.3,error,error
tt_hh,85,180,2.1,1.90050000e-02,2.74000000e-03
sf_hh,0,36000.0,2.3,error,error
sf_lh,27,36000.0,2.1,1.66000000e-04,1.76250000e-04
fs_ll,27,36000.0,2.5,error,error
ff_hl,0,36000.0,2.3,error,error
tt_hh,85,36000.0,2.1,error,error
sf_hh,27,18,2.3,2.12014000e-01,4.97250000e-03
sf_lh,85,18,2.3,2.28807000e-01,5.09287500e-02
fs_ll,85,18,2.1,1.52112000e-01,3.23250000e-03
ff_hl,27,18,2.3,1.41863000e-01,1.01322000e+00
tt_hh,0,18,2.1,1.60317000e-01,9.57500000e-04
sf_hh,27,180,2.3,2.23710000e-02,2.38750000e-04
sf_lh,85,180,2.3,2.40770000e-02,3.07375000e-03
fs_ll,85,180,2.1,1.55130000e-02,2.87250000e-03
ff_hl,27,180,2.3,1.44860000e-02,6.75000000e-05
tt_hh,0,180,2.1,error,error
sf_hh,27,36000.0,2.3,1.62000000e-04,1.47500000e-04
sf_lh,85,36000.0,2.3,1.83000000e-04,2.95375000e-03
fs_ll,85,36000.0,2.1,1.17000000e-04,2.81625000e-03
ff_hl,27,36000.0,2.3,1.04000000e-04,1.12500000e-04
tt_hh,0,36000.0,2.1,error,error
sf_hl,85,18,2.5,2.28803000e-01,3.77762500e-02
sf_lh,0,18,2.3,error,error
fs_ll,0,18,2.1,1.30201000e-01,1.19000000e-03
ff_lh,85,18,2.5,error,error
tt_hh,27,18,2.1,error,error
sf_hl,85,180,2.5,2.40720000e-02,2.88750000e-03
sf_lh,0,180,2.3,error,error
fs_ll,0,180,2.1,1.32500000e-02,1.32250000e-03
ff_lh,85,180,2.5,error,error
tt_hh,27,180,2.1,1.73860000e-02,1.25000000e-05
sf_hl,85,36000.0,2.5,1.78000000e-04,2.77750000e-03
sf_lh,0,36000.0,2.3,error,error
fs_ll,0,36000.0,2.1,9.60000000e-05,1.36250000e-03
ff_lh,85,36000.0,2.5,1.21000000e-04,2.61875000e-03
tt_hh,27,36000.0,2.1,1.25000000e-04,3.87500000e-05
sf_hl,0,18,2.5,error,error
sf_lh,27,18,2.3,2.12018000e-01,1.08050000e-02
fs_ll,27,18,2.1,1.37644000e-01,1.25000000e-04
ff_lh,0,18,2.5,error,error
tt_hh,85,18,2.3,1.84152000e-01,4.43500000e-03
sf_hl,0,180,2.5,error,error
sf_lh,27,180,2.3,2.23750000e-02,2.71250000e-04
fs_ll,27,180,2.1,error,error
ff_lh,0,180,2.5,error,error
tt_hh,85,180,2.3,1.90050000e-02,2.74000000e-03
sf_hl,0,36000.0,2.5,error,error
sf_lh,27,36000.0,2.3,1.66000000e-04,1.76250000e-04
fs_ll,27,36000.0,2.1,error,error
ff_lh,0,36000.0,2.5,error,error
tt_hh,85,36000.0,2.3,error,error
sf_hl,27,18,2.5,2.12014000e-01,4.97250000e-03
sf_ll,85,18,2.5,2.28807000e-01,5.09287500e-02
fs_ll,85,18,2.3,1.52112000e-01,3.23250000e-03
ff_lh,27,18,2.5,1.41865000e-01,1.02500000e-04
tt_hh,0,18,2.3,1.60317000e-01,9.57500000e-04
sf_hl,27,180,2.5,2.23710000e-02,2.38750000e-04
sf_ll,85,180,2.5,2.40770000e-02,3.07375000e-03
fs_ll,85,180,2.3,1.55130000e-02,2.87250000e-03
ff_lh,27,180,2.5,error,error
tt_hh,0,180,2.3,error,error
sf_hl,27,36000.0,2.5,1.62000000e-04,1.47500000e-04
sf_ll,85,36000.0,2.5,1.83000000e-04,2.95375000e-03
fs_ll,85,36000.0,2.3,1.17000000e-04,2.81625000e-03
ff_lh,27,36000.0,2.5,error,error
tt_hh,0,36000.0,2.3,error,error
sf_hl,85,18,2.1,2.28803000e-01,3.77762500e-02
sf_ll,0,18,2.5,error,error
fs_ll,0,18,2.3,1.30201000e-01,1.19000000e-03
ff_lh,85,18,2.1,error,error
tt_hh,27,18,2.3,error,error
tt_lh,0,180,2.3,error,error
ss_tt,85,36000.0,2.1,error,error
tt_lh,0,36000.0,2.3,1.21000000e-04,1.30500000e-03
ss_tt,0,18,2.1,error,error
tt_lh,27,18,2.3,1.68464000e-01,4.02500000e-04
ss_tt,0,180,2.1,error,error
tt_lh,27,180,2.3,error,error
ss_tt,0,36000.0,2.1,error,error
tt_lh,27,36000.0,2.3,1.28000000e-04,5.37500000e-05
tt_ll,85,18,2.5,1.84156000e-01,5.70375000e-03
