corner,temp,resistor,supply,temp_coeff
tt,0,180,2.1,3.46986872e+01
ss_ll,85,180,2.1,6.05095380e+01
tt,0,36000.0,2.1,3.50633379e+01
ss_ll,85,36000.0,2.1,6.10324541e+01
ss_ll,0,18,2.1,5.86278256e+01
tt,27,18,2.1,3.39799857e+01
tt,27,180,2.1,3.46986872e+01
ss_ll,0,180,2.1,6.05095824e+01
ss_ll,0,36000.0,2.1,6.10324541e+01
tt,27,36000.0,2.1,3.50633379e+01
ss_ll,27,18,2.1,5.86278256e+01
tt,85,18,2.5,4.46631007e+01
tt,85,180,2.5,4.49967255e+01
ss_ll,27,180,2.1,6.05095380e+01
tt,85,36000.0,2.5,4.53313893e+01
ss_ll,27,36000.0,2.1,6.10324541e+01
tt,0,18,2.5,4.46631007e+01
ss_ll,85,18,2.5,7.97915547e+01
tt,0,180,2.5,4.49967255e+01
ss_ll,85,180,2.5,7.78615279e+01
ss_ll,85,36000.0,2.5,7.83194644e+01
sf_hl,85,18,2.5,2.52404278e+01
sf_tt,85,18,2.1,3.67998350e+01
ff_lh,85,18,2.5,5.58134108e+01
sf_hl,85,180,2.5,2.55486196e+01
sf_tt,85,180,2.1,3.82880330e+01
ff_lh,85,180,2.5,5.61474367e+01
sf_hl,27,18,2.1,3.42878895e+01
sf_tt,85,36000.0,2.1,3.86914571e+01
ff_lh,85,36000.0,2.5,5.65442087e+01
sf_hl,0,18,2.5,2.52404278e+01
sf_tt,0,18,2.1,error
ff_lh,0,18,2.5,5.58134108e+01
sf_hl,0,180,2.5,2.55486196e+01
sf_tt,0,180,2.1,error
ff_lh,0,180,2.5,error
sf_hl,0,36000.0,2.5,error
sf_tt,0,36000.0,2.1,error
ff_lh,0,36000.0,2.5,5.65442087e+01
sf_hl,27,18,2.5,2.52404278e+01
sf_tt,27,18,2.1,3.67998350e+01
ff_lh,27,18,2.5,5.58134108e+01
sf_hl,27,180,2.5,2.55486196e+01
sf_tt,27,180,2.1,3.82880330e+01
ff_lh,27,180,2.5,5.61474367e+01
sf_hl,27,36000.0,2.5,2.83811849e+01
sf_tt,27,36000.0,2.1,3.86914571e+01
ff_lh,27,36000.0,2.5,5.65442087e+01
sf_hl,85,18,2.3,2.76329694e+01
sf_tt,85,18,2.5,4.62088064e+01
ff_lh,85,18,2.3,5.11469496e+01
sf_hl,85,36000.0,2.5,2.83811849e+01
sf_tt,85,180,2.5,4.66276425e+01
ff_lh,85,180,2.3,5.15216161e+01
sf_hl,85,36000.0,2.3,2.69363499e+01
sf_tt,85,36000.0,2.5,4.91016609e+01
ff_lh,85,36000.0,2.3,5.19428475e+01
sf_hl,0,18,2.3,error
sf_tt,0,18,2.5,error
ff_lh,0,18,2.3,5.11469496e+01
sf_hl,0,180,2.3,error
sf_tt,0,180,2.5,error
ff_lh,0,180,2.3,5.15216161e+01
sf_hl,85,180,2.3,2.72134535e+01
sf_tt,0,36000.0,2.5,error
ff_lh,0,36000.0,2.3,5.19428475e+01
sf_hl,27,18,2.3,2.76329694e+01
sf_tt,27,18,2.5,4.62088064e+01
ff_lh,27,18,2.3,5.11469496e+01
sf_hl,27,180,2.3,2.72134535e+01
sf_tt,27,180,2.5,4.66276425e+01
ff_lh,27,180,2.3,5.15216161e+01
sf_hl,27,36000.0,2.3,2.69363499e+01
sf_tt,27,36000.0,2.5,4.91016609e+01
ff_lh,27,36000.0,2.3,5.19428475e+01
sf_lh,85,18,2.1,6.06377213e+01
sf_tt,85,18,2.3,4.15322836e+01
ff_ll,85,18,2.1,4.48549516e+01
sf_lh,85,180,2.1,6.27694777e+01
sf_tt,85,180,2.3,4.20447328e+01
ff_hl,85,18,2.1,5.63360152e+01
sf_lh,85,36000.0,2.1,6.32995434e+01
sf_tt,85,36000.0,2.3,4.45516817e+01
ff_ll,85,36000.0,2.1,4.59138020e+01
sf_lh,0,18,2.1,error
sf_tt,0,18,2.3,error
ff_ll,0,18,2.1,error
sf_lh,0,180,2.1,error
sf_tt,0,180,2.3,error
ff_ll,0,180,2.1,4.54897753e+01
sf_lh,0,36000.0,2.1,error
sf_tt,0,36000.0,2.3,error
ff_ll,0,36000.0,2.1,error
fs_lh,85,18,2.1,5.06815665e+01
sf_tt,27,18,2.3,4.15322836e+01
ff_tt,0,18,2.1,error
ss_hl,85,18,2.3,2.73595082e+01
tt_hh,27,18,2.3,3.09358551e+01
sf_tt,27,180,2.3,4.20447328e+01
ss_hl,85,180,2.3,2.77229497e+01
fs_lh,85,180,2.1,5.13482163e+01
ff_tt,0,180,2.1,error
tt_hh,27,180,2.3,3.05932026e+01
sf_tt,27,36000.0,2.3,4.45516817e+01
ss_hl,85,36000.0,2.3,2.45871519e+01
fs_lh,85,36000.0,2.1,5.00996014e+01
ff_tt,0,36000.0,2.1,3.52555358e+01
tt_hh,27,36000.0,2.3,3.03060695e+01
ss_hh,85,18,2.1,2.75815967e+01
ss_hl,0,18,2.3,2.73595082e+01
fs_lh,0,18,2.1,5.06815665e+01
ff_tt,27,18,2.1,3.60897412e+01
tt_lh,85,18,2.1,5.69714568e+01
ss_hh,85,180,2.1,2.66143652e+01
ss_hl,0,180,2.3,error
fs_lh,0,180,2.1,5.13482151e+01
ff_tt,27,180,2.1,3.55969487e+01
tt_lh,85,180,2.1,5.79562486e+01
ss_hh,85,36000.0,2.1,2.62828766e+01
ss_hl,0,36000.0,2.3,error
fs_lh,0,36000.0,2.1,5.00996014e+01
ff_tt,27,36000.0,2.1,3.52546968e+01
tt_lh,85,36000.0,2.1,5.84401072e+01
ss_hh,0,18,2.1,2.75815967e+01
ss_hl,27,18,2.3,2.73595082e+01
fs_lh,27,18,2.1,5.06815665e+01
ff_tt,85,18,2.5,3.29662874e+01
tt_lh,0,18,2.1,5.69714568e+01
ss_hh,0,180,2.1,2.66143652e+01
ss_hl,27,180,2.3,2.77229497e+01
fs_lh,27,180,2.1,5.13482163e+01
ff_tt,85,180,2.5,3.32223177e+01
tt_lh,0,180,2.1,error
ss_hh,0,36000.0,2.1,error
ss_hl,27,36000.0,2.3,2.45871519e+01
fs_lh,27,36000.0,2.1,5.00996014e+01
ff_tt,85,36000.0,2.5,3.35397557e+01
tt_lh,0,36000.0,2.1,error
ss_hh,27,18,2.1,2.75815967e+01
ss_lh,85,18,2.1,5.86278261e+01
fs_lh,85,18,2.5,6.46396902e+01
ff_tt,0,18,2.5,error
tt_lh,27,18,2.1,5.69714568e+01
ss_hh,27,180,2.1,2.66143652e+01
ss_lh,85,180,2.1,6.05095461e+01
fs_lh,85,180,2.5,6.54928834e+01
ff_tt,0,180,2.5,3.32223177e+01
tt_lh,27,180,2.1,5.79562486e+01
ss_hh,27,36000.0,2.1,2.62828766e+01
ss_lh,85,36000.0,2.1,6.10324600e+01
fs_lh,85,36000.0,2.5,6.54715386e+01
ff_tt,0,36000.0,2.5,3.35397557e+01
tt_lh,27,36000.0,2.1,5.84401072e+01
ss_hh,85,18,2.5,3.14617861e+01
ss_lh,0,18,2.1,5.86278261e+01
fs_lh,0,18,2.5,6.46396902e+01
ff_tt,27,18,2.5,3.29662874e+01
tt_lh,85,18,2.5,7.14106330e+01
sf_hh,85,180,2.1,3.31553977e+01
ss_hh,85,180,2.5,2.82486981e+01
ss_lh,0,180,2.1,error
fs_lh,0,180,2.5,6.54928834e+01
ff_tt,27,180,2.5,3.32223177e+01
tt_lh,85,180,2.5,7.18444677e+01
sf_hh,85,36000.0,2.1,3.27925520e+01
ss_hh,85,36000.0,2.5,2.85031573e+01
ss_lh,0,36000.0,2.1,6.10324600e+01
fs_lh,0,36000.0,2.5,6.54715386e+01
ff_tt,27,36000.0,2.5,3.35397557e+01
tt_lh,85,36000.0,2.5,7.22721594e+01
sf_hh,0,18,2.1,error
ss_hh,0,18,2.5,3.14609983e+01
ss_lh,27,18,2.1,5.86278261e+01
fs_lh,27,18,2.5,6.46396902e+01
ff_tt,85,18,2.3,3.00736931e+01
tt_lh,0,18,2.5,7.14106330e+01
sf_hh,0,180,2.1,error
ss_hh,0,180,2.5,error
ss_lh,27,180,2.1,6.05095461e+01
fs_lh,27,180,2.5,6.54928834e+01
ff_tt,85,180,2.3,2.98317879e+01
tt_lh,0,180,2.5,error
sf_hh,0,36000.0,2.1,error
ss_hh,0,36000.0,2.5,2.85031573e+01
ss_lh,27,36000.0,2.1,6.10324600e+01
fs_lh,27,36000.0,2.5,6.54715386e+01
ff_tt,85,36000.0,2.3,3.01660845e+01
tt_lh,0,36000.0,2.5,7.22708811e+01
sf_hh,27,18,2.1,3.42878876e+01
ss_hh,27,18,2.5,3.14617861e+01
ss_lh,85,18,2.5,7.97915560e+01
fs_lh,85,18,2.3,5.70184295e+01
ff_tt,0,18,2.3,3.00736931e+01
tt_lh,27,18,2.5,7.14106330e+01
sf_hh,27,180,2.1,3.31553977e+01
ss_hh,27,180,2.5,2.82486981e+01
ss_lh,85,180,2.5,7.78615229e+01
fs_lh,85,180,2.3,5.90437586e+01
ff_tt,0,180,2.3,2.98317879e+01
tt_lh,27,180,2.5,7.18444677e+01
sf_hh,27,36000.0,2.1,3.27925520e+01
ss_hh,27,36000.0,2.5,2.85031573e+01
ss_lh,85,36000.0,2.5,7.83194583e+01
fs_lh,85,36000.0,2.3,5.94990650e+01
ff_tt,0,36000.0,2.3,3.01660845e+01
tt_lh,27,36000.0,2.5,7.22721594e+01
sf_hh,85,18,2.5,2.52404244e+01
ss_hh,85,18,2.3,2.73595133e+01
ss_lh,0,18,2.5,7.97915560e+01
fs_lh,0,18,2.3,5.70184295e+01
ff_tt,27,18,2.3,3.00736931e+01
tt_lh,85,18,2.3,6.35816307e+01
sf_hh,85,18,2.1,3.42878876e+01
ss_hh,85,180,2.3,2.77229467e+01
ss_lh,0,180,2.5,7.78615229e+01
fs_lh,0,180,2.3,5.90437586e+01
ff_tt,27,180,2.3,2.98317879e+01
tt_lh,85,180,2.3,6.40993858e+01
sf_hh,85,36000.0,2.5,2.83811854e+01
ss_hh,85,36000.0,2.3,2.45871562e+01
ss_lh,0,36000.0,2.5,7.83194583e+01
fs_lh,0,36000.0,2.3,5.94990650e+01
ff_tt,27,36000.0,2.3,3.01660845e+01
tt_lh,85,36000.0,2.3,6.62789269e+01
sf_ll,0,18,2.1,error
ss_ll,0,18,2.5,7.97915547e+01
ff_hh,27,18,2.5,4.41626208e+01
sf_ll,0,180,2.1,error
ss_ll,0,180,2.5,7.78615279e+01
ff_hh,27,180,2.5,4.38837902e+01
sf_ll,0,36000.0,2.1,error
ss_ll,0,36000.0,2.5,7.83194644e+01
ff_hh,27,36000.0,2.5,4.35754775e+01
sf_ll,27,18,2.1,6.06377207e+01
ss_ll,27,18,2.5,7.97915547e+01
ff_hh,85,18,2.3,4.90633991e+01
sf_ll,27,180,2.1,6.27694785e+01
ss_ll,27,180,2.5,7.78615279e+01
ff_hh,85,180,2.3,4.87084000e+01
sf_ll,27,36000.0,2.1,6.32995430e+01
ss_ll,27,36000.0,2.5,7.83194644e+01
ff_hh,85,36000.0,2.3,4.83511882e+01
